,x
0,51.32948
1,61.621586
2,43.123837
3,84.79112
4,44.858055
5,2.9897654
6,86.95169
7,65.72821
8,81.95205
9,94.91488
10,5.071494
11,23.128744
12,9.810781
13,41.491245
14,85.56856
15,6.8670425
16,46.98835
17,12.801029
18,77.700455
19,84.3853
20,3.537575
21,48.318504
22,23.915844
23,95.14195
24,94.182816
25,61.714607
26,97.67033
27,33.863083
28,89.93423
29,43.10306
30,23.585209
31,94.01935
32,68.28831
33,6.423986
34,86.59155
35,70.11205
36,60.871483
37,72.988556
38,25.482285
39,60.632084
40,81.52312
41,5.877499
42,13.316365
43,83.62248
44,60.640564
45,53.131348
46,24.896294
47,29.423824
48,87.91358
49,41.998108
50,6.909974
51,89.369705
52,20.684002
53,82.44383
54,88.45051
55,48.65056
56,60.10327
57,52.677464
58,62.58825
59,84.8951
60,28.897877
61,89.43263
62,56.759224
63,11.026068
64,22.267841
65,58.96071
66,24.08105
67,13.964876
68,16.43298
69,84.74425
70,60.160034
71,94.3639
72,34.498074
73,59.12943
74,59.878456
75,60.82546
76,7.330888
77,75.421326
78,93.76547
79,52.180717
80,18.70581
81,75.56222
82,1.8012102
83,33.214405
84,92.66048
85,58.29959
86,86.03991
87,60.968334
88,81.98261
89,87.3306
90,32.16465
91,12.247161
92,71.88934
93,43.55386
94,12.5858
95,58.855026
96,3.4417624
97,19.627983
98,78.81143
99,2.2347434
