,Y
0,39.645073
1,16.489235
2,65.36013
3,75.36708
4,28.143406
5,44.882492
6,90.63794
7,87.56377
8,71.804085
9,60.195923
10,82.727806
11,90.557556
12,3.4462004
13,39.5195
14,57.43801
15,72.06096
16,8.568829
17,40.025047
18,28.211567
19,43.0433
20,48.617
21,66.48065
22,48.87054
23,62.614475
24,58.492603
25,42.686104
26,2.4031248
27,19.326622
28,32.327557
29,14.294138
30,59.750244
31,61.463364
32,50.281204
33,31.992903
34,65.60303
35,19.381506
36,3.89162
37,72.614136
38,44.914215
39,69.292656
40,18.771046
41,5.7394505
42,37.577774
43,71.06226
44,9.086082
45,19.565117
46,45.707047
47,61.54447
48,72.43209
49,11.091921
50,62.66504
51,39.336983
52,67.32633
53,20.077087
54,53.10742
55,17.321009
56,4.0588937
57,48.714798
58,18.687529
59,64.87335
60,53.728992
61,75.32745
62,39.649727
63,97.92198
64,51.451393
65,47.51082
66,74.64658
67,57.32843
68,36.278645
69,48.876774
70,18.600769
71,39.64901
72,3.7160559
73,45.663025
74,27.333035
75,53.58495
76,4.2788134
77,55.167835
78,27.390997
79,58.07158
80,73.23325
81,43.882122
82,66.04671
83,23.435305
84,98.264854
85,24.6753
86,93.2491
87,21.54467
88,50.212364
89,82.924965
90,71.60971
91,70.42985
92,43.539795
93,76.270386
94,91.369286
95,43.980392
96,52.769627
97,6.5845475
98,39.13656
99,46.363003
